sampleid	dataset	raw	filtered	perc_filtered
ERR6279656	Lee_2022	26259641	13253313	49.5297251017255
ERR6279657	Lee_2022	90994357	54184643	40.4527436794789
ERR6279658	Lee_2022	5668392	2938049	48.1678578334032
ERR6279659	Lee_2022	20502242	12302383	39.994938114573
ERR6279660	Lee_2022	13425999	7709007	42.5815017564056
ERR6279661	Lee_2022	57604283	33768447	41.3785829084966
ERR6279662	Lee_2022	18195696	8941150	50.8611816772494
ERR6279663	Lee_2022	22262156	13809894	37.9669516285844
ERR6279664	Lee_2022	29949225	21005872	29.8617176237449
ERR6279665	Lee_2022	30078435	11331540	62.3266968510828
ERR6279666	Lee_2022	40046234	24942491	37.7157637344875
ERR6279667	Lee_2022	31835176	18589855	41.605929868269
ERR6279668	Lee_2022	8063632	4853523	39.8097160187866
ERR6279669	Lee_2022	104175966	62581944	39.9266967200477
ERR6279670	Lee_2022	65951050	32577438	50.6036097984793
ERR6279671	Lee_2022	17968253	9866714	45.0880728360181
ERR6279672	Lee_2022	41269331	25991812	37.0190614429878
ERR6279673	Lee_2022	14339380	7923913	44.7401979722973
ERR6279674	Lee_2022	24590945	14707932	40.1896429763069
ERR6279675	Lee_2022	17571285	11686503	33.490902913475
ERR6279676	Lee_2022	39313267	23072843	41.3102884580923
ERR6279677	Lee_2022	35970880	20262565	43.6695321326584
ERR6279678	Lee_2022	32486841	17466607	46.2348247402695
ERR6279679	Lee_2022	21597159	13430017	37.8158164228915
ERR6279680	Lee_2022	16971198	11807675	30.4252121741789
ERR6279681	Lee_2022	58838793	39850484	32.2717513936766
ERR6279682	Lee_2022	16195842	10189690	37.0845307085609
ERR6279683	Lee_2022	13373761	6499604	51.4003278509314
ERR6280899	Lee_2022	76429295	46196327	39.5567798970277
ERR6280907	Lee_2022	41343579	22290158	46.0855626456529
ERR6280910	Lee_2022	25169518	16191630	35.6696858477783
ERR6280948	Lee_2022	8570604	4274094	50.1307725803222
ERR6281000	Lee_2022	54630929	37527418	31.307377181889
ERR6281340	Lee_2022	30225045	17060484	43.555141108971
ERR6281341	Lee_2022	45267011	27328535	39.6281433293663
ERR6281342	Lee_2022	20763950	14379174	30.7493323765469
ERR6281343	Lee_2022	60267860	34552966	42.6676739476066
ERR6281344	Lee_2022	28700002	16036269	44.1245021516026
ERR6281431	Lee_2022	15664069	8583326	45.2037270775556
ERR6281432	Lee_2022	59898506	33296668	44.4115217164181
ERR6281433	Lee_2022	16780589	9779041	41.7240896609767
ERR6281434	Lee_2022	76841502	54193490	29.4736716624826
ERR6281448	Lee_2022	37100376	25453632	31.392522814324
ERR6281499	Lee_2022	14216539	8856508	37.702784060171
ERR6281500	Lee_2022	41615018	24089365	42.1137700817527
ERR6281504	Lee_2022	29505254	18884500	35.996144957776
ERR6281505	Lee_2022	12966972	7524304	41.9733149728402
ERR6281518	Lee_2022	59830490	34555345	42.2445896732586
ERR6281586	Lee_2022	24297152	12701728	47.7233874982549
ERR6281658	Lee_2022	23033521	11687365	49.2593207959825
ERR6281677	Lee_2022	9000378	4615042	48.7239091513712
ERR6281751	Lee_2022	38261189	22063343	42.3349258696587
ERR6281939	Lee_2022	8802323	4759293	45.9313978821273
ERR6281941	Lee_2022	39883201	21397170	46.3504195663733
ERR6281942	Lee_2022	59047634	35947695	39.1208545290739
ERR6281944	Lee_2022	19713182	10210271	48.2058705692465
ERR6281997	Lee_2022	26282976	12830381	51.1836825479733
ERR6282070	Lee_2022	43799421	22814599	47.9111858579135
ERR6282137	Lee_2022	57123253	30546117	46.5259497739038
ERR6282298	Lee_2022	45935289	24857162	45.8865666437845
ERR6282383	Lee_2022	73928100	39183867	46.9973298380453
SRR11413606	Peng_2020	26625980	21764727	18.2575552148691
SRR11413607	Peng_2020	26226871	21690190	17.297835490936
SRR11413608	Peng_2020	26194149	21581959	17.6077107906808
SRR11413609	Peng_2020	19800543	16140886	18.4826092900584
SRR11413610	Peng_2020	21536968	17081884	20.6857529806424
SRR11413611	Peng_2020	25363124	20760603	18.1465067158131
SRR11413612	Peng_2020	21552226	17371612	19.3975972597912
SRR11413613	Peng_2020	23539387	19178127	18.5275003125612
SRR11413614	Peng_2020	23769753	19171088	19.3467092401002
SRR11413615	Peng_2020	23111523	18864353	18.3768503702677
SRR11413617	Peng_2020	25387084	20022900	21.1295791198391
SRR11413618	Peng_2020	33743123	28336786	16.0220409948421
SRR11413619	Peng_2020	25853019	21735751	15.9256758369303
SRR11413620	Peng_2020	25568725	20692715	19.0702117528348
SRR11413645	Peng_2020	25660451	21003368	18.1488743124585
SRR11413646	Peng_2020	24499261	20014189	18.3069685244792
SRR11413647	Peng_2020	27396533	21573237	21.2555946403875
SRR11413648	Peng_2020	29591479	24420224	17.4754867777984
SRR11413649	Peng_2020	30341804	24340693	19.7783592564239
SRR11413650	Peng_2020	27394690	22560899	17.6449925149728
SRR11413652	Peng_2020	27991630	23329262	16.656293327684
SRR11413653	Peng_2020	24411280	19925657	18.375206052284
SRR11413654	Peng_2020	25210468	20574422	18.3893690509831
SRR11413655	Peng_2020	24430658	19267515	21.133867945759
SRR11413656	Peng_2020	24074307	19747134	17.9742370154206
SRR11413657	Peng_2020	25619798	20303355	20.7513072507441
SRR11413678	Peng_2020	30874108	25973404	15.8731840932862
SRR11413679	Peng_2020	25488925	20178344	20.8348567073739
